# SentiWordNet Pt-BR v1.0b (13 Agosto 2017)
# Todos os direitos reservados.
#
# Link: https://github.com/Pedro-Thales/SentiWordNet-PT-BR
#
# Data format.
# 
# A primeira coluna corresponde ao ID baseado na identificação
# 	internacional baseada no WordNet 3.0.
# Os valores PosPont e NegPont são respectivamente a pontuação 
# 	positiva e negativa dos termos.
#
# A identação padrão utiliza tabulação entre as colunas.
#
#ID	PosScore	NegScore	Termo
00032297-v	0.125	0.125	convulsionar
00032497-a	0.375	0	acrobático
00032497-a	0.375	0	atlético
00032613-n	0	0	bem
00032613-n	0	0	posse
00032613-n	0	0	propriedade
00032733-a	0	0	ativo
00032733-a	0	0	lesto
00032733-a	0	0	ligeiro
00032733-a	0	0	lépido
00032733-a	0	0	rápido
00032733-a	0	0	serelepe
00032733-a	0	0	ágil
00032778-v	0	0.125	desdenhar
00032823-n	0	0	relação social
00032823-n	0	0	relação_social
00032863-r	0	0	a partir de agora
00032863-r	0	0	de agora em diante
00032863-r	0	0	doravante
00032981-v	0	0.5	fazer cara feia
00032981-v	0	0.5	franzir o cenho
00033020-n	0	0	comunicação
00033020-n	0	0	mensagem
00033203-v	0	0	fulminar
00033206-a	0.25	0	ativo em excesso
00033206-a	0.25	0	hiperativo
00033308-r	0	0	agora mesmo
00033308-r	0	0	neste instante
00033406-v	0.125	0	olhar
00033421-r	0	0	imediatamente
00033421-r	0	0	instantaneamente
00033574-a	0.375	0.5	inativo
00033599-v	0	0	aparentar
00033599-v	0	0	parecer
00033615-n	0	0.375	magnitude
00033615-n	0	0.375	medida
00033615-n	0	0.375	número
00033615-n	0	0.375	quantia
00033615-n	0	0.375	quantidade
00033615-n	0	0.375	volume
00033663-r	0	0	pouco
00033663-r	0	0	um
00033663-r	0	0	um tanto
00033922-r	0	0.125	brevemente
00033922-r	0	0.125	cedo
00033922-r	0	0.125	já
00033922-r	0	0.125	logo
00033922-r	0	0.125	pronto
00033955-v	0	0.125	dar de ombros
00034115-v	0	0	aplaudir
00034115-v	0	0	bater palmas
00034137-r	0	0	o mais breve possível
00034137-r	0	0	o mais rápido possível
00034189-r	0	0	brevemente
00034213-n	0.125	0	fenómeno
00034213-n	0.125	0	fenômeno
00034308-r	0	0	brevemente
00034322-a	0.25	0.125	inerte
00034403-r	0	0	momentaneamente
00034479-n	0	0	coisa
00034574-n	0	0	amabilidade
00034574-n	0	0	bondade
00034574-n	0	0	delicadeza
00034574-n	0	0	gentileza
00034641-r	0	0	o mais precoce
00034777-n	0	0	Abdominoplastia
00034939-n	0	0	aborto
00035058-r	0	0	amiúde
00035058-r	0	0	com freqüência
00035058-r	0	0	frequentemente
00035058-r	0	0	freqüentemente
00035058-r	0	0	muitas vezes
00035058-r	0	0	vira e mexe
00035089-v	0	0	pigarrear
00035189-n	0	0	conquista
00035189-n	0	0	consumação
00035189-n	0	0	façanha
00035189-n	0	0	feito
00035189-n	0	0	realização
00035320-r	0	0	imediatamente
00035368-a	0	0.625	aposentado
00035368-a	0	0.625	jubilado
00035385-r	0	0.125	raramente
00035491-r	0.5	0	curiosamente
00035697-n	0	0	agon
00035718-r	0.125	0.25	com justiça
00035718-r	0.125	0.25	razoavelmente
00035758-v	0	0	lavar
00035758-v	0	0	limpar
00036254-a	0	0	aberto
00036291-r	0	0	fracamente
00036291-r	0	0	lestamente
00036291-r	0	0	levemente
00036291-r	0	0	ligeiramente
00036291-r	0	0	meio
00036362-v	0	0	lavar se
00036362-v	0	0	lavar-se
00036362-v	0	0	limpar
00036609-r	0	0	amplamente
00036609-r	0	0	extensivamente
00036609-r	0	0	largamente
00036762-n	0.375	0.125	façanha
00036762-n	0.375	0.125	feito
00036762-n	0.375	0.125	proeza
00036762-n	0.375	0.125	realização
00036762-r	0.625	0	intrinsecamente
00036780-v	0.25	0	esfregar
00036932-v	0	0	ensaboar
00036935-r	0.25	0	definitivamente
00036935-r	0.25	0	impreterivelmente
00036935-r	0.25	0	infalivelmente
00036935-r	0.25	0	sem falta
00036998-a	0	0.5	lento
00037006-n	0.625	0	obra prima
00037006-n	0.625	0	obra-prima
00037138-v	0	0	bochechar
00037138-v	0	0	enxaguar
00037138-v	0	0	gargarejar
00037226-r	0.625	0	sinceramente
00037298-v	0	0	barbear
00037298-v	0	0	barbear-se
00037298-v	0	0	raspar
00037396-n	0	0	atividade
00037396-n	0	0	ato
00037396-n	0	0	ação
00037470-r	0	0	de fato
00037470-r	0	0	realmente
00037514-v	0	0	depilar
00037653-a	0	0.25	progressivo
00037919-v	0	0	banhar-se
00037919-v	0	0	tomar banho
00038013-r	0.5	0	verdadeiramente
00038199-v	0	0	duchar
00038260-a	0	0	indolente
00038262-n	0	0	caminho
00038262-n	0	0	conduta
00038262-n	0	0	corrente
00038262-n	0	0	curso
00038365-v	0.25	0	pentear
00038625-r	0.125	0.25	claro
00038625-r	0.125	0.25	compreensivelmente
00038625-r	0.125	0.25	de acordo
00038625-r	0.125	0.25	decerto
00038625-r	0.125	0.25	naturalmente
00038750-a	0.125	0	agencioso
00038750-a	0.125	0	ativo
00039021-n	0	0	interação
00039122-a	0	0	activista
00039122-a	0	0	ativista
00039211-n	0	0	interacção
00039211-n	0	0	interação
00039297-n	0.375	0	contato
00039297-n	0.375	0	ligação
00039318-r	0.5	0	abertamente
00039318-r	0.5	0	claramente
00039318-r	0.5	0	de forma evidente
00039318-r	0.5	0	evidentemente
00039318-r	0.5	0	obviamente
00039740-n	0	0	contato visual
00039916-n	0	0	busque
00039941-r	0.5	0.125	aparentemente
00040152-n	0	0	intercâmbio
00040353-v	0	0	cuidar-se
00040365-r	0	0	de novo
00040365-r	0	0	novamente
00040365-r	0	0	outra vez
00040365-r	0	0	uma vez mais
00040420-n	0	0.125	intercambio
00040420-n	0	0.125	reciprocidade
00040547-r	0.125	0	Casualmente
00040547-r	0.125	0	acidentalmente
00040547-r	0.125	0	por acaso
00040547-r	0.125	0	à toa
00040719-r	0	0.125	da cartola
00040719-r	0	0.125	de repente
00040719-r	0	0.125	do nada
00040719-r	0	0.125	inesperadamente
00040719-r	0	0.125	inopinadamente
00040719-r	0	0.125	repentinamente
00040719-r	0	0.125	sem mais nem menos
00040766-v	0.25	0	limpar
00040928-v	0.125	0	maquiar
00040928-v	0.125	0	maquilar
00040962-n	0	0	relação
00040962-n	0	0	relações
